,year,month,mean_temp
0,1944,1,26.1
82,1944,2,24.5
164,1944,3,24.4
246,1944,4,18.0
328,1944,5,15.4
410,1944,6,13.2
492,1944,7,12.8
574,1944,8,13.7
656,1944,9,18.2
738,1944,10,20.1
820,1944,11,21.5
902,1944,12,24.3
1,1945,1,24.2
83,1945,2,22.6
165,1945,3,20.9
247,1945,4,18.5
329,1945,5,16.2
411,1945,6,14.7
493,1945,7,12.3
575,1945,8,14.9
657,1945,9,16.3
739,1945,10,18.8
821,1945,11,23.2
903,1945,12,24.3
2,1946,1,25.7
84,1946,2,23.6
166,1946,3,21.2
248,1946,4,17.5
330,1946,5,16.4
412,1946,6,12.5
494,1946,7,14.0
576,1946,8,14.3
658,1946,9,15.0
740,1946,10,16.6
822,1946,11,21.1
904,1946,12,23.7
3,1947,1,26.1
85,1947,2,27.4
167,1947,3,23.9
249,1947,4,19.9
331,1947,5,19.4
413,1947,6,14.7
495,1947,7,13.3
577,1947,8,13.7
659,1947,9,17.0
741,1947,10,18.5
823,1947,11,19.3
905,1947,12,23.3
4,1948,1,23.7
86,1948,2,26.1
168,1948,3,20.9
250,1948,4,18.6
332,1948,5,15.2
414,1948,6,13.4
496,1948,7,12.6
578,1948,8,16.0
660,1948,9,18.1
742,1948,10,17.8
824,1948,11,20.6
906,1948,12,24.4
5,1949,1,24.0
87,1949,2,22.1
169,1949,3,21.0
251,1949,4,17.6
333,1949,5,14.9
415,1949,6,11.9
497,1949,7,13.4
579,1949,8,15.1
661,1949,9,16.4
743,1949,10,18.5
825,1949,11,19.6
907,1949,12,21.2
6,1950,1,23.7
88,1950,2,23.0
170,1950,3,21.9
252,1950,4,19.3
334,1950,5,15.8
416,1950,6,12.2
498,1950,7,13.9
580,1950,8,15.0
662,1950,9,18.1
744,1950,10,18.9
826,1950,11,21.6
908,1950,12,25.7
7,1951,1,27.3
89,1951,2,25.4
171,1951,3,25.0
253,1951,4,17.9
335,1951,5,17.7
417,1951,6,13.9
499,1951,7,13.5
581,1951,8,12.7
663,1951,9,16.7
745,1951,10,18.7
827,1951,11,21.1
909,1951,12,23.1
8,1952,1,24.8
90,1952,2,22.8
172,1952,3,23.6
254,1952,4,18.3
336,1952,5,15.3
418,1952,6,13.4
500,1952,7,12.2
582,1952,8,13.7
664,1952,9,16.8
746,1952,10,18.5
828,1952,11,19.7
910,1952,12,22.2
9,1953,1,23.9
91,1953,2,24.4
173,1953,3,24.6
255,1953,4,20.7
337,1953,5,17.0
419,1953,6,13.3
501,1953,7,13.6
583,1953,8,14.1
665,1953,9,16.3
747,1953,10,18.6
829,1953,11,20.2
911,1953,12,23.8
10,1954,1,26.5
92,1954,2,21.9
174,1954,3,23.2
256,1954,4,20.3
338,1954,5,16.3
420,1954,6,13.9
502,1954,7,12.7
584,1954,8,14.9
666,1954,9,16.4
748,1954,10,18.7
830,1954,11,19.9
912,1954,12,24.0
11,1955,1,26.1
93,1955,2,24.6
175,1955,3,22.3
257,1955,4,20.0
339,1955,5,15.1
421,1955,6,13.3
503,1955,7,13.1
585,1955,8,15.2
667,1955,9,17.0
749,1955,10,19.0
831,1955,11,20.0
913,1955,12,22.6
12,1956,1,24.0
94,1956,2,27.3
176,1956,3,24.1
258,1956,4,20.1
340,1956,5,15.9
422,1956,6,13.3
504,1956,7,13.6
586,1956,8,14.0
668,1956,9,16.6
750,1956,10,16.9
832,1956,11,18.9
914,1956,12,22.7
13,1957,1,25.6
95,1957,2,24.6
177,1957,3,22.9
259,1957,4,20.6
341,1957,5,17.1
423,1957,6,17.8
505,1957,7,13.1
587,1957,8,15.0
669,1957,9,16.9
751,1957,10,18.0
833,1957,11,22.1
915,1957,12,23.1
14,1958,1,22.7
96,1958,2,24.7
178,1958,3,23.5
260,1958,4,20.8
342,1958,5,17.6
424,1958,6,13.9
506,1958,7,13.1
588,1958,8,14.0
670,1958,9,15.8
752,1958,10,17.9
